brand_detected,count,mean,median,std,min,max,p25,p75,cv
Silicon,2,43900.0,43900.0,1414.21,42900.0,44900.0,43400.0,44400.0,3.22
Coussin,2,14200.0,14200.0,1838.48,12900.0,15500.0,13550.0,14850.0,12.95
Base,2,84900.0,84900.0,0.0,84900.0,84900.0,84900.0,84900.0,0.0
Ventilateur,2,18900.0,18900.0,5656.85,14900.0,22900.0,16900.0,20900.0,29.93
Ssd,2,39000.0,39000.0,14142.14,29000.0,49000.0,34000.0,44000.0,36.26
Routeur,1,18500.0,18500.0,,18500.0,18500.0,18500.0,18500.0,
Unité,1,4490.0,4490.0,,4490.0,4490.0,4490.0,4490.0,
Tn,1,23200.0,23200.0,,23200.0,23200.0,23200.0,23200.0,
Ventilatteur,1,19900.0,19900.0,,19900.0,19900.0,19900.0,19900.0,
The,1,59900.0,59900.0,,59900.0,59900.0,59900.0,59900.0,
Options,1,8400.0,8400.0,,8400.0,8400.0,8400.0,8400.0,
Ventouse,1,4900.0,4900.0,,4900.0,4900.0,4900.0,4900.0,
Verrouillage,1,12900.0,12900.0,,12900.0,12900.0,12900.0,12900.0,
Vintage,1,4900.0,4900.0,,4900.0,4900.0,4900.0,4900.0,
Wiwu,1,1499.0,1499.0,,1499.0,1499.0,1499.0,1499.0,
Newvante,1,23000.0,23000.0,,23000.0,23000.0,23000.0,23000.0,
Xtrike,1,38900.0,38900.0,,38900.0,38900.0,38900.0,38900.0,
Petite,1,14900.0,14900.0,,14900.0,14900.0,14900.0,14900.0,
Tegenaria,1,27000.0,27000.0,,27000.0,27000.0,27000.0,27000.0,
Poches,1,11500.0,11500.0,,11500.0,11500.0,11500.0,11500.0,
Smart,1,19900.0,19900.0,,19900.0,19900.0,19900.0,19900.0,
Sigma,1,26900.0,26900.0,,26900.0,26900.0,26900.0,26900.0,
Raspberry,1,3550.0,3550.0,,3550.0,3550.0,3550.0,3550.0,
Ramaxel,1,55000.0,55000.0,,55000.0,55000.0,55000.0,55000.0,
Ram,1,1549.0,1549.0,,1549.0,1549.0,1549.0,1549.0,
Pâte,1,3890.0,3890.0,,3890.0,3890.0,3890.0,3890.0,
Puskill,1,28900.0,28900.0,,28900.0,28900.0,28900.0,28900.0,
Présentateur,1,14200.0,14200.0,,14200.0,14200.0,14200.0,14200.0,
Spirit,1,64000.0,64000.0,,64000.0,64000.0,64000.0,64000.0,
Telefunken,1,4900.0,4900.0,,4900.0,4900.0,4900.0,4900.0,
Porte,1,7500.0,7500.0,,7500.0,7500.0,7500.0,7500.0,
Portable,1,17900.0,17900.0,,17900.0,17900.0,17900.0,17900.0,
Super,1,16900.0,16900.0,,16900.0,16900.0,16900.0,16900.0,
Port,1,44900.0,44900.0,,44900.0,44900.0,44900.0,44900.0,
Pochette,1,19900.0,19900.0,,19900.0,19900.0,19900.0,19900.0,
Team,1,70000.0,70000.0,,70000.0,70000.0,70000.0,70000.0,
Sandisk,1,2290.0,2290.0,,2290.0,2290.0,2290.0,2290.0,
New,1,25000.0,25000.0,,25000.0,25000.0,25000.0,25000.0,
Live,1,9900.0,9900.0,,9900.0,9900.0,9900.0,9900.0,
Netac,1,48500.0,48500.0,,48500.0,48500.0,48500.0,48500.0,
Chaise,1,1310.0,1310.0,,1310.0,1310.0,1310.0,1310.0,
Ervilon,1,7200.0,7200.0,,7200.0,7200.0,7200.0,7200.0,
Endoscope,1,14500.0,14500.0,,14500.0,14500.0,14500.0,14500.0,
Defense,1,7900.0,7900.0,,7900.0,7900.0,7900.0,7900.0,
Cycplus,1,64900.0,64900.0,,64900.0,64900.0,64900.0,64900.0,
Crown,1,14000.0,14000.0,,14000.0,14000.0,14000.0,14000.0,
Counterstrike,1,7900.0,7900.0,,7900.0,7900.0,7900.0,7900.0,
Coolermaster,1,29900.0,29900.0,,29900.0,29900.0,29900.0,29900.0,
Compteur,1,17900.0,17900.0,,17900.0,17900.0,17900.0,17900.0,
Compound,1,9900.0,9900.0,,9900.0,9900.0,9900.0,9900.0,
Colle,1,9900.0,9900.0,,9900.0,9900.0,9900.0,9900.0,
Classeur,1,11000.0,11000.0,,11000.0,11000.0,11000.0,11000.0,
Cartes,1,4900.0,4900.0,,4900.0,4900.0,4900.0,4900.0,
Fisher,1,30000.0,30000.0,,30000.0,30000.0,30000.0,30000.0,
Brosse,1,4900.0,4900.0,,4900.0,4900.0,4900.0,4900.0,
Boutons,1,5900.0,5900.0,,5900.0,5900.0,5900.0,5900.0,
Barrette,1,60000.0,60000.0,,60000.0,60000.0,60000.0,60000.0,
Balea,1,2900.0,2900.0,,2900.0,2900.0,2900.0,2900.0,
Atapis,1,23933.0,23933.0,,23933.0,23933.0,23933.0,23933.0,
Atable,1,77593.0,77593.0,,77593.0,77593.0,77593.0,77593.0,
Anti-Poussière,1,3900.0,3900.0,,3900.0,3900.0,3900.0,3900.0,
Anime,1,3900.0,3900.0,,3900.0,3900.0,3900.0,3900.0,
Amd,1,1299.0,1299.0,,1299.0,1299.0,1299.0,1299.0,
Accoudoir,1,24900.0,24900.0,,24900.0,24900.0,24900.0,24900.0,
256Go,1,45000.0,45000.0,,45000.0,45000.0,45000.0,45000.0,
Film,1,3500.0,3500.0,,3500.0,3500.0,3500.0,3500.0,
Foldable,1,18900.0,18900.0,,18900.0,18900.0,18900.0,18900.0,
Naruto,1,3900.0,3900.0,,3900.0,3900.0,3900.0,3900.0,
Kingston,1,3190.0,3190.0,,3190.0,3190.0,3190.0,3190.0,
Multi,1,14900.0,14900.0,,14900.0,14900.0,14900.0,14900.0,
Minitable,1,28900.0,28900.0,,28900.0,28900.0,28900.0,28900.0,
Micron,1,49000.0,49000.0,,49000.0,49000.0,49000.0,49000.0,
Meuble,1,12900.0,12900.0,,12900.0,12900.0,12900.0,12900.0,
Mercusys,1,13500.0,13500.0,,13500.0,13500.0,13500.0,13500.0,
Melon,1,7900.0,7900.0,,7900.0,7900.0,7900.0,7900.0,
L’Allié,1,25900.0,25900.0,,25900.0,25900.0,25900.0,25900.0,
Lumière,1,12900.0,12900.0,,12900.0,12900.0,12900.0,12900.0,
Lot,1,6900.0,6900.0,,6900.0,6900.0,6900.0,6900.0,
16,1,3900.0,3900.0,,3900.0,3900.0,3900.0,3900.0,
Lapdesk,1,22900.0,22900.0,,22900.0,22900.0,22900.0,22900.0,
Kebo,1,2300.0,2300.0,,2300.0,2300.0,2300.0,2300.0,
G.Skill,1,49000.0,49000.0,,49000.0,49000.0,49000.0,49000.0,
Jalaba,1,57900.0,57900.0,,57900.0,57900.0,57900.0,57900.0,
Hppower,1,3199.0,3199.0,,3199.0,3199.0,3199.0,3199.0,
Honeywell,1,13480.0,13480.0,,13480.0,13480.0,13480.0,13480.0,
Home,1,48000.0,48000.0,,48000.0,48000.0,48000.0,48000.0,
High,1,64900.0,64900.0,,64900.0,64900.0,64900.0,64900.0,
Hewlett,1,1490.0,1490.0,,1490.0,1490.0,1490.0,1490.0,
Havit,1,29900.0,29900.0,,29900.0,29900.0,29900.0,29900.0,
Gigabyte,1,99900.0,99900.0,,99900.0,99900.0,99900.0,99900.0,
Gen,1,18000.0,18000.0,,18000.0,18000.0,18000.0,18000.0,
Gel,1,9900.0,9900.0,,9900.0,9900.0,9900.0,9900.0,
Gardez,1,22900.0,22900.0,,22900.0,22900.0,22900.0,22900.0,
Xtrmlab,1,79900.0,79900.0,,79900.0,79900.0,79900.0,79900.0,
