title,price,currency,brand,category,source,link,image,search_query,page,in_stock,date_scraped
Toshiba TransMemory U202-clé USB-32Go,7900,MAD,Toshiba,USB Flash Drive,Jumia,https://www.jumia.ma/transmemory-u202-cle-usb-32go-toshiba-mpg63764.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/388622/1.jpg?7057,cle usb,1,True,2026-05-03 11:29:22
Lexar Cle USB 3.1 JumpDrive Dual Drive D400 128 Go USB 3.2 Type-C et Type A jusqu'à 130 Mo/s,29800,MAD,Lexar,USB Flash Drive,Jumia,https://www.jumia.ma/lexar-cle-usb-3.1-jumpdrive-dual-drive-d400-128-go-usb-3.2-type-c-et-type-a-jusqua-130-mos-66951099.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/015966/1.jpg?1271,cle usb,1,True,2026-05-03 11:29:22
Bliksem Clés USB 3.0 (Type-c et USB 3.0/2.0) 64GB Haute Vitesse,7500,MAD,Bliksem,USB Flash Drive,Jumia,https://www.jumia.ma/bliksem-cles-usb-3.0-type-c-et-usb-3.02.0-64gb-haute-vitesse-66406023.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/060466/1.jpg?8153,cle usb,1,True,2026-05-03 11:29:22
"KIOXIA TransMemory Clé Usb 32Gb Flash Drive, Usb 2.0 DataTraveler",8900,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/kioxia-transmemory-cle-usb-32gb-flash-drive-usb-2.0-datatraveler-47981236.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/218974/1.jpg?0827,cle usb,1,True,2026-05-03 11:29:22
Kingston Cle usb  3.2 Gen 1 256gb DataTraveler Exodia DTX avec capuchon pour porte-clés,27900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-3.2-gen-1-256gb-datatraveler-exodia-dtx-avec-capuchon-pour-porte-cles-65422547.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/522456/1.jpg?2663,cle usb,1,True,2026-05-03 11:29:22
Sandisk Clé Usb 32Gb - 64Gb et 128Gb usb 3.0 Vitesse rapide 150 Mb/s,1190019900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-32gb-64gb-et-128gb-usb-3.0-vitesse-rapide-150-mbs-65726967.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/962756/1.jpg?2292,cle usb,1,True,2026-05-03 11:29:22
Sandisk Cle usb 3.0 ultra Flair 512Gb allant jusqu'à 150Mo/s vitesse et  d'élégance,59900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-3.0-ultra-flair-512gb-allant-jusqua-150mos-vitesse-et-delegance-66969409.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/496966/1.jpg?4825,cle usb,1,True,2026-05-03 11:29:22
Sandisk Cle usb 3.0 Ultra Flair 256 Gb allant jusqu'à 150 Mo/s vitesse et d'élégance,35900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-3.0-ultra-flair-256-gb-allant-jusqua-150-mos-vitesse-et-delegance-65238350.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/383256/1.jpg?1171,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB 16GB,6900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-16-gb-kingston-kingston-mpg68224.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/699742/1.jpg?6451,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB Exodia DataTraveler 128Gb Flash Drive 3.2,11899,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-exodia-datatraveler-128gb-flash-drive-3.2-65290970.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/909256/1.jpg?6627,cle usb,1,True,2026-05-03 11:29:22
Qilive Clé USB 3.2 Gen 1 -128 Go,11900,MAD,Qilive,USB Flash Drive,Jumia,https://www.jumia.ma/qilive-cle-usb-3.2-gen-1-128-go-67382923.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/928376/1.jpg?6388,cle usb,1,True,2026-05-03 11:29:22
KIOXIA TransMemory Clé Usb 2.0 Flash Drive Stockage 64g DataTraveler,9900,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/kioxia-transmemory-cle-usb-2.0-flash-drive-stockage-64g-datatraveler-66309327.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/390366/1.jpg?7380,cle usb,1,True,2026-05-03 11:29:22
"Sandisk Cle 16GB Lecteur Flash Usb 3.0 iXpand Mini- Drive Memory Stick pour iPhone, iPad",18900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/cle-16gb-lecteur-flash-usb-3.0-ixpand-mini-drive-memory-stick-pour-iphone-ipad-sandisk-mpg945323.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/420883/1.jpg?4640,cle usb,1,True,2026-05-03 11:29:22
Sandisk Clé USB Cruzer Blade - 32GB - USB 2.0,7500,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-cruzer-blade-32gb-usb-2.0-sandisk-mpg1460578.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/949316/1.jpg?4925,cle usb,1,True,2026-05-03 11:29:22
Clé USB 64GB Memory Stick pour PC Mobile 64GB 2.0 Métal Lecteur Flash USB Lecteur USB 64GB,7500,MAD,Clé,USB Flash Drive,Jumia,https://www.jumia.ma/generic-cle-usb-64gb-memory-stick-pour-pc-mobile-64gb-2.0-metal-lecteur-flash-usb-lecteur-usb-64gb-67156838.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/865176/1.jpg?8184,cle usb,1,True,2026-05-03 11:29:22
Sandisk Ultra Clé Otg USB 2.0 Ultra Type-C 32GB Double USB 3.1 à Double Connectique Pour liberer espace,11500,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-cle-otg-usb-2.0-ultra-type-c-32gb-double-usb-3.1-a-double-connectique-pour-liberer-espace-52823017.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/032825/1.jpg?3503,cle usb,1,True,2026-05-03 11:29:22
Sandisk Cle USB 2.0 128GB Cruzer Blade,16300,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-2.0-128gb-cruzer-blade-67709829.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/890776/1.jpg?7341,cle usb,1,True,2026-05-03 11:29:22
Sandisk Cle usb 2in1 ultra dual drive luxe USB Type-C 256 Gb vitesse Jusqu'à 400 Mo/s 3.1gen,52900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-2in1-ultra-dual-drive-luxe-usb-type-c-256-gb-vitesse-jusqua-400-mos-3.1gen-64619697.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/691646/1.jpg?0286,cle usb,1,True,2026-05-03 11:29:22
"Verbatim Cle NANO USB 3.2 Store 'n' Stay 64 Go Store 'n' Stay Nano, USB 3.2, 64GB",9900,MAD,Verbatim,USB Flash Drive,Jumia,https://www.jumia.ma/verbatim-cle-nano-usb-3.2-store-n-stay-64-go-store-n-stay-nano-usb-3.2-64gb-65984165.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/148956/1.jpg?7644,cle usb,1,True,2026-05-03 11:29:22
"Sandisk Ultra Ultra 128 Go Flash Drive, Clé USB 3.0, des vitesses allant jusqu'à 130 Mo/s, Noir",27000,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-ultra-128-go-flash-drive-cle-usb-3.0-des-vitesses-allant-jusqua-130-mos-noir-67496174.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/169476/1.jpg?6642,cle usb,2,True,2026-05-03 11:29:26
Philips Clés USB 3.0 Snow Edition 128 Go Orange High Speed Haute Vitesse,15900,MAD,Philips,USB Flash Drive,Jumia,https://www.jumia.ma/philips-cles-usb-3.0-snow-edition-128-go-orange-high-speed-haute-vitesse-65569460.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/496556/1.jpg?8076,cle usb,2,True,2026-05-03 11:29:26
Kingston Exodia DataTraveler Clé Usb 128Gb Flash Drive // Usb 3.2,13500,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-exodia-datatraveler-cle-usb-128gb-flash-drive-usb-3.2-53186728.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/768135/1.jpg?3248,cle usb,2,True,2026-05-03 11:29:26
"Sandisk Ultra 256Go Ultra Flash Drive Clé USB, des vitesses allant jusqu'à 130 Mo/s, USB 3.0, Noir",36000,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-256go-ultra-flash-drive-cle-usb-des-vitesses-allant-jusqua-130-mos-usb-3.0-noir-67496168.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/169476/1.jpg?6328,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB 2.0/ 3.0 - 64 Go - DataTraveler SE9,11200,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-2.0-3.0-64-go-datatraveler-se9-59975256.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/257995/1.jpg?9844,cle usb,2,True,2026-05-03 11:29:26
"Hp Clé USB 64GB  en Métal haute vitesse, USB Pour Stockage - USB 3.2",14900,MAD,Hp,USB Flash Drive,Jumia,https://www.jumia.ma/hp-cle-usb-64gb-en-metal-haute-vitesse-usb-pour-stockage-usb-3.2-66092492.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/429066/1.jpg?7424,cle usb,2,True,2026-05-03 11:29:26
Netac CLE USB 128 GO Métallique UM1 usb 3.2,13900,MAD,Netac,USB Flash Drive,Jumia,https://www.jumia.ma/netac-cle-usb-128-go-metallique-um1-usb-3.2-67216903.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/961276/1.jpg?1718,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB DataTraveler 70 USB Type-C 3.2 Gen1 – 256 GB,28000,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-datatraveler-70-usb-type-c-3.2-gen1-256-gb-67155424.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/455176/1.jpg?5223,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB DataTraveler 70 USB-C 3.2 Gen1 – 128 Go (DT70/128GB),14000,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-datatraveler-70-usb-c-3.2-gen1-128-go-dt70128gb-67380278.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/208376/1.jpg?3151,cle usb,2,True,2026-05-03 11:29:26
Guitar Guitare Wood Clé USB 64GB - guitare wood 2.0 - Clé USB en Wood 64GB,9900,MAD,Guitar,USB Flash Drive,Jumia,https://www.jumia.ma/guitar-guitare-wood-cle-usb-64gb-guitare-wood-2.0-cle-usb-en-wood-64gb-63579050.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/097536/1.jpg?1530,cle usb,2,True,2026-05-03 11:29:26
Sandisk Cle usb 1To 2in1 ultra dual drive luxe USB Type-C 1TB vitesse Jusqu'à 400 Mo/s 3.1gen,139700,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-1to-2in1-ultra-dual-drive-luxe-usb-type-c-1tb-vitesse-jusqua-400-mos-3.1gen-65697838.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/879656/1.jpg?4165,cle usb,2,True,2026-05-03 11:29:26
"HI-PRO Clé USB 16Go (2 Clés USB 8Go x2) – Pack Duo Design Clé Métal – Compatible PC, TV, Autoradio – Stockage Documents & Photos",11500,MAD,HI-PRO,USB Flash Drive,Jumia,https://www.jumia.ma/hi-pro-cle-usb-16go-2-cles-usb-8go-x2-pack-duo-design-cle-metal-compatible-pc-tv-autoradio-stockage-documents-photos-67643428.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/434676/1.jpg?4617,cle usb,2,True,2026-05-03 11:29:26
Kingston Offre 2 Cle usb 3.2-3.0 DataTraveler 70 USB Type-C 32gb+Sandisk iXpand Cle USB iphone 16GB,23900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-offre-2-cle-usb-3.2-3.0-datatraveler-70-usb-type-c-32gbsandisk-ixpand-cle-usb-iphone-16gb-67330846.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/803376/1.jpg?3229,cle usb,2,True,2026-05-03 11:29:26
Sandisk Ultra Flair Clé Usb 3.0 32Gb DataTraveler Flash Drive Vitesse Lecture150 Mb/s,16900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-flair-cle-usb-3.0-32gb-datatraveler-flash-drive-vitesse-lecture150-mbs-44914539.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/541944/1.jpg?8320,cle usb,2,True,2026-05-03 11:29:26
Sandisk Ultra Fit 64GB  Clé 64Go USB 3.1 Vitesse allant jusqu'à 130 Mo/s,17800,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/ultra-fit-64gb-cle-64go-usb-3.1-vitesse-allant-jusqua-130-mos-sandisk-mpg1115233.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/887673/1.jpg?0267,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB DataTraveler Exodia USB Type-A 3.2 Gen1 - 256 Go (DTX/256GB),27500,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-datatraveler-exodia-usb-type-a-3.2-gen1-256-go-dtx256gb-66154265.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/245166/1.jpg?9973,cle usb,2,True,2026-05-03 11:29:26
"Microdrive Mini clé USB 3.0, support à mémoire de 32GB",6900,MAD,Microdrive,USB Flash Drive,Jumia,https://www.jumia.ma/microdrive-mini-cle-usb-3.0-support-a-memoire-de-32gb-54065840.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/856045/1.jpg?4681,cle usb,2,True,2026-05-03 11:29:26
Sandisk Ultra Dual Drive Luxe 256 Go USB Type-C : Otg ultime pour tous vos appareils,44900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-dual-drive-luxe-256-go-usb-type-c-otg-ultime-pour-tous-vos-appareils-64648169.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/184646/1.jpg?5544,cle usb,2,True,2026-05-03 11:29:26
KIOXIA Clé Usb 32Gb Flash Drive // Usb 2.0 DataTraveler // TransMemory U202,9900,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-32gb-flash-drive-usb-2.0-datatraveler-transmemory-u202-kioxia-mpg1240450.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/004564/1.jpg?5489,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB 100% original DataTraveler SE9 2.0 32GB kingston,8900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-100-original-datatraveler-se9-2.0-32gb-kingston-kingston-mpg88545.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/947582/1.jpg?9392,cle usb,2,True,2026-05-03 11:29:26
Clé USB 3.0 2 TB Métal Haute Vitesse – Flash Drive Étanche – Noir,20000,MAD,Clé,USB Flash Drive,Jumia,https://www.jumia.ma/generic-cle-usb-3.0-2-tb-metal-haute-vitesse-flash-drive-etanche-noir-67616485.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/461676/1.jpg?1973,cle usb,2,True,2026-05-03 11:29:26
"Kingston Technology DataTraveler 100 G3- DT100G3/128GB USB 3.0 Clé USB , support à mémoire 128GB",24900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-technology-datatraveler-100-g3-dt100g3128gb-usb-3.0-cle-usb-support-a-memoire-128gb-62841060.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/014826/1.jpg?3582,cle usb,2,True,2026-05-03 11:29:26
Sandisk Clé Otg USB 2.0 Ultra Type -C 64GB  Double USB 3.1à Double Connectique Pour liberer espace,29800,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/cle-otg-usb-2.0-ultra-type-c-64gb-double-usb-3.1a-double-connectique-pour-liberer-espace-sandisk-mpg848706.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/359722/1.jpg?3011,cle usb,2,True,2026-05-03 11:29:26
Lenovo  Clés USB Noir (2-IN-1) 1890 GB/2TB (Type-c et usb ),19900,MAD,Lenovo,USB Flash Drive,Jumia,https://www.jumia.ma/lenovo-cles-usb-noir-2-in-1-1890-gb2tb-type-c-et-usb-65961287.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/216956/1.jpg?8823,cle usb,2,True,2026-05-03 11:29:26
"Clé USB à double connectique pour les appareils USB Type-C,  64 Go",9900,MAD,Clé,USB Flash Drive,Jumia,https://www.jumia.ma/generic-cle-usb-a-double-connectique-pour-les-appareils-usb-type-c-64-go-65412227.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/221456/1.jpg?8286,cle usb,2,True,2026-05-03 11:29:26
Lexar Cle 256GB usb 3.1 JumpDrive Dual Drive D400 256Go USB 3.2 Type-C et Type A jusqu'à 130 Mo/s,39700,MAD,Lexar,USB Flash Drive,Jumia,https://www.jumia.ma/lexar-cle-256gb-usb-3.1-jumpdrive-dual-drive-d400-256go-usb-3.2-type-c-et-type-a-jusqua-130-mos-67217107.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/171276/1.jpg?7250,cle usb,2,True,2026-05-03 11:29:26
Sandisk Ultra Clé USB Dual Drive Go Type C 128 Go - Transfert Rapide Fiable Phone PC Mac,24900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-cle-usb-dual-drive-go-type-c-128-go-transfert-rapide-fiable-phone-pc-mac-64303079.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/030346/1.jpg?7329,cle usb,2,True,2026-05-03 11:29:26
Kingston Clé USB 64GB - Kingston SE9 2.0 - Clé USB en Métal 64GB,9900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-64gb-kingston-se9-2.0-cle-usb-en-metal-64gb-kingston-mpg1126771.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/125642/1.jpg?3164,cle usb,2,True,2026-05-03 11:29:26
"Clé USB 128GB, Clé USB 2 en 1 haute vitesse avec type-C 128 Go, double fonction, stockage de données, compatible avec PC",11800,MAD,Clé,USB Flash Drive,Jumia,https://www.jumia.ma/generic-cle-usb-128gb-cle-usb-2-en-1-haute-vitesse-avec-type-c-128-go-double-fonction-stockage-de-donnees-compatible-avec-pc-67757771.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/775776/1.jpg?3173,cle usb,2,True,2026-05-03 11:29:26
KIOXIA Clé 32 Go USB 2.0 : Stockez vos données en toute simplicité,5800,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/kioxia-cle-32-go-usb-2.0-stockez-vos-donnees-en-toute-simplicite-64848234.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/284846/1.jpg?9236,cle usb,2,True,2026-05-03 11:29:26
(2-IN-1)Clés USB /1900 GB/2TB (Type-c et usb 2.0),19900,MAD,(2-IN-1)Clés,USB Flash Drive,Jumia,https://www.jumia.ma/generic-2-in-1cles-usb-1900-gb2tb-type-c-et-usb-2.0-66092847.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/829066/1.jpg?1319,cle usb,2,True,2026-05-03 11:29:26
GOTTA Clé USB 32 Gb  Snapper 3.0  Transmission de données haute vitesse,11900,MAD,GOTTA,USB Flash Drive,Jumia,https://www.jumia.ma/gotta-cle-usb-32-gb-snapper-3.0-transmission-de-donnees-haute-vitesse-23769242.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/296732/1.jpg?3233,cle usb,2,True,2026-05-03 11:29:26
Kingston Exodia DTX Clé Usb 128 Gb- Data Traveler Flash Drive 128 g Usb 3.2,15900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-exodia-dtx-cle-usb-128-gb-data-traveler-flash-drive-128-g-usb-3.2-64153197.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/135146/1.jpg?6165,cle usb,3,True,2026-05-03 11:29:31
