title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped
DELL PC PORTABLE Latitude 7480 - INTEL CORE i5 - RAM 8Go - 256Go SSD - REMIS A NEUF,419900,DELL,Jumia,https://www.jumia.ma/dell-pc-portable-latitude-7480-intel-core-i5-ram-8go-256go-ssd-remis-a-neuf-62061710.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/716026/1.jpg?4057,pc portable,3,False,2026-04-19 00:28:44
Hp PC Portable ELITEBOOK 840 G7 -10810U- 10EME GENERATION -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD - À NEUF/,359900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g7-10810u-10eme-generation-intel-core-i5-10eme-8gb-256gb-ssd-fhd-a-neuf-66115155.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/151166/1.jpg?2019,pc portable,4,False,2026-04-19 00:28:48
"Table Bureau PC portable Bureau Debout, Hauteur Réglable, Roues avec verrou",27900,Table,Jumia,https://www.jumia.ma/table-bureau-pc-portable-bureau-debout-hauteur-reglable-roues-avec-verrou-generic-mpg1527034.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/705176/1.jpg?9542,pc portable,4,False,2026-04-19 00:28:48
Table pour Ordinateur Portable Table pc,34400,Table,Jumia,https://www.jumia.ma/table-pour-ordinateur-portable-table-pc-generic-mpg1068827.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/076273/1.jpg?6116,pc portable,5,False,2026-04-19 00:28:52
Hp PC Portable ELITEBOOK 840 G7 -10310U- 10EME GENERATION -INTEL CORE I5-10éme -16GB- 512GB SSD- FHD - Remis à neuf,430000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g7-10310u-10eme-generation-intel-core-i5-10eme-16gb-512gb-ssd-fhd-remis-a-neuf-67163842.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/836176/1.jpg?1362,pc portable,5,False,2026-04-19 00:28:52
"SSD Interne 2.5"" SATA III 128 GO (P3-128) pour Pc Bureau, Pc Portable, PS3,PS4- haut vitesse 550Mo/s",29000,SSD,Jumia,https://www.jumia.ma/kingspec-ssd-interne-2.5-sata-iii-128-go-p3-128-pour-pc-bureau-pc-portable-ps3ps4-haut-vitesse-550mos-66301780.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/710366/1.jpg?7031,pc portable,5,False,2026-04-19 00:28:52
Hp Pc Portable EliteBook 840 G8 i5- 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,375000,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g8-i5-11eme-generation-ram-16go-ddr4-256gb-ssd-qwerty-remis-a-neuf-67386169.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/168376/1.jpg?6371,pc portable,5,False,2026-04-19 00:28:52
Hp PC Portable ELITEBOOK 840 G7 -10810U -INTEL CORE I5-10éme -16GB- 256GB SSD- FHD - À NEUF/,369900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g7-10810u-intel-core-i5-10eme-16gb-256gb-ssd-fhd-a-neuf-65843842.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/834856/1.jpg?9387,pc portable,6,False,2026-04-19 00:28:57
Hp PC Portable EliteBook 840 G5 8ème Gén - Tactile - Core i5 - 8Go - 256Go SSD - Garantie de 6 mois - Remis à neuf,399900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-tactile-core-i5-8go-256go-ssd-garantie-de-6-mois-remis-a-neuf-67413347.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/331476/1.jpg?4056,pc portable,6,False,2026-04-19 00:28:57
Hp PC Portable ELITEBOOK X360 G3 I7-8éme -16GB- 256GB SSD-TACTILE-AZERTY-REMIS À NEUF,699900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g3-i7-8eme-16gb-256gb-ssd-tactile-azerty-remis-a-neuf-64719925.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/991746/1.jpg?4087,pc portable,6,False,2026-04-19 00:28:57
