title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped
"Hp OMEN 16 - c0043ns AMD Ryzen 7 5800H 16 Go 512 Go SSD RX 6600M 16,1""",1845400,Hp,Jumia,https://www.jumia.ma/hp-omen-16-c0043ns-amd-ryzen-7-5800h-16-go-512-go-ssd-rx-6600m-161-65771977.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/917756/1.jpg?8925,hp,2,False,2026-04-18 13:13:14
Hp 3Com elitebook i7 8th gen 16gb ram 256 gb ssd,650000,Hp,Jumia,https://www.jumia.ma/hp-3com-elitebook-i7-8th-gen-16gb-ram-256-gb-ssd-67618341.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/381676/1.jpg?3071,hp,2,False,2026-04-18 13:13:14
"Hp PC Portable Probook 640 Core intel i5-500Go-RAM 8GB 14""- remis a neuf",199900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-probook-640-core-intel-i5-500go-ram-8gb-14-remis-a-neuf-62940546.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/504926/1.jpg?8055,hp,2,False,2026-04-18 13:13:14
"Hp Chromebook  11A G5  - 12"" HD - Intel Celeron N3060 - 4GB-16 GB eMMC-REMIS A NEUF",219900,Hp,Jumia,https://www.jumia.ma/hp-chromebook-11a-g5-12-hd-intel-celeron-n3060-4gb-16-gb-emmc-remis-a-neuf-67581303.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/318576/1.jpg?9652,hp,2,False,2026-04-18 13:13:14
Omen HP Pochette pour accessoires PC poches organisateur imperméable et robuste,12500,Omen,Jumia,https://www.jumia.ma/omen-hp-pochette-pour-accessoires-pc-poches-organisateur-impermeable-et-robuste-64150021.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/005146/1.jpg?9515,hp,2,False,2026-04-18 13:13:14
Hp EliteBook 840 G9 – Intel Core i5-1245U – 16Go RAM – 256Go SSD NVMe – Intel UHD Graphics (Occasion comme neuf),465000,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g9-intel-core-i5-1245u-16go-ram-256go-ssd-nvme-intel-uhd-graphics-occasion-comme-neuf-67722528.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/522776/1.jpg?0638,hp,2,False,2026-04-18 13:13:14
Hp EliteBook 840 G10 – Intel Core i7-1365U – 32Go RAM – 512Go SSD PCIe 4.0 – Intel Iris Xe Graphics (Occasion comme neuf),815000,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g10-intel-core-i7-1365u-32go-ram-512go-ssd-pcie-4.0-intel-iris-xe-graphics-occasion-comme-neuf-67723314.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/332776/1.jpg?4103,hp,2,False,2026-04-18 13:13:14
Hp Pc Portable Elitebook X360 G2 I5-7éme -16GB- 256GB SSD - Tactile - Remis À Neuf,359900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g2-i5-7eme-16gb-256gb-ssd-tactile-remis-a-neuf-61470395.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/307416/1.jpg?7961,hp,2,False,2026-04-18 13:13:14
"Hp 250 G9 Pc portable Intel® Core™ i3-1215U - 4Go - 256Go SSD - FreeDOS - 15.6"" - AZERTY",399900,Hp,Jumia,https://www.jumia.ma/hp-250-g9-pc-portable-intelr-coretm-i3-1215u-4go-256go-ssd-freedos-15.6-azerty-65849800.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/894856/1.jpg?6265,hp,2,False,2026-04-18 13:13:14
"Hp PC Portable Probook 640 Core i5 8eme 500Gb 4GB RAM 14""- remis a neuf",199900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-probook-640-core-i5-8eme-500gb-4gb-ram-14-remis-a-neuf-60840077.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/004806/1.jpg?8059,hp,2,False,2026-04-18 13:13:14
Hp PC Portable ELITEBOOK X360 G3 I5-8éme -8GB- 512GB SSD - TACTILE -REMIS À NEUF/,369900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-x360-g3-i5-8eme-8gb-512gb-ssd-tactile-remis-a-neuf-65694806.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/849656/1.jpg?3757,hp,2,False,2026-04-18 13:13:14
"Hp PC Portable  Probook 640 Core i5 4eme 320Gb 8GB RAM 14""- remis a neuf",199900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-probook-640-core-i5-4eme-320gb-8gb-ram-14-remis-a-neuf-62037617.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/673026/1.jpg?1544,hp,2,False,2026-04-18 13:13:14
Hp ELITEBOOK 840 G5 8ÉME GÉN-CORE i5-8Go-256 Go SSD-GARANTIE DE SIX MOIS-Remis à neuf,299900,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-garantie-de-six-mois-remis-a-neuf-67176572.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/567176/1.jpg?8638,hp,2,False,2026-04-18 13:13:14
